# 미국 4년제 에디터 노트 — id <TAB> 노트
# scripts\gen-us.ps1이 읽어 editor_note에 넣는다. universities-us.json은 생성물이니 직접 고치지 말 것.
# 톤 기준은 us-stony-brook 노트다. 상담사가 직접 말하는 어투, 짧은 문장 변주, 순위·학비 수치는 유지.
# 근거는 DB에 이미 있는 값(QS 순위·도시·학비·IELTS·제휴사·전공)만 쓴다. 없는 사실을 지어내지 말 것.
# 노트를 고치면 data\i18n-uni.json에 영어 번역도 같이 고칠 것 — 빌드가 누락을 알려준다.
us-mit	QS 세계 1위. 공학과 컴퓨터과학에서 기준점이 되는 학교입니다. 패스웨이도 편입도 사실상 닫혀 있어서 다이렉트 전형 하나로 승부해야 합니다. 영어는 IELTS 7.0부터입니다.
us-dartmouth	아이비리그 중 가장 작고 학부 중심입니다. QS 270위. 뉴햄프셔 소도시에 있어 캠퍼스 안에서 생활이 완결되는 구조이니, 대도시를 원하는 학생과는 맞지 않습니다.
us-pittsburgh	간호학과 약학이 강하고 의료 클러스터(UPMC)와 붙어 있어 실습 자리가 가깝습니다. QS 279위. 보건 계열 실습 경험을 학부 때 쌓으려면 조건이 좋습니다.
us-georgetown	워싱턴 D.C.에 있어 국제관계와 정치학의 인턴 연계가 이 학교의 자리입니다. QS 289위, IELTS 6.0, 학비는 연 6만 8천 달러대. 영어 요건은 낮은 편이니 학비 쪽만 감당되면 시도해 볼 만합니다.
us-notre-dame	경영과 건축이 강한 가톨릭계 사립입니다. QS 300위. 동문 네트워크가 미국에서 손꼽히게 촘촘해서, 졸업 후 미국에 남을 생각이라면 그 점이 크게 작용합니다.
us-rutgers	뉴저지에 있고 뉴욕까지 한 시간입니다. 약학과 컴퓨터과학이 강한데 학비는 연 3만 7천 달러 선으로 같은 순위대(QS 314위)에서 낮은 축입니다. 뉴욕 생활권을 원하면서 학비는 줄이고 싶을 때 나오는 답입니다.
us-nc-state	공학과 디자인이 강하고 학비가 연 3만 3천 달러 선입니다. 리서치 트라이앵글 안이라 기업 연구소가 가깝습니다. QS 320위. 공대를 저비용으로 다니면서 인턴까지 챙기기에 조건이 맞습니다.
us-colorado-boulder	항공우주공학이 강하고 NASA 연계 연구가 많습니다. QS 320위. 로키산맥 옆이라 야외 활동 환경을 보고 오는 학생도 있는데, 오래 다니게 만드는 건 결국 전공입니다.
us-case-western	공학과 생명과학이 강하고 클리블랜드 클리닉과 붙어 있어 의료 연계가 두텁습니다. QS 326위. 보건·바이오 쪽 진로라면 병원과 붙어 있다는 점이 실제로 차이를 만듭니다.
us-miami	해양학과 음악(프로스트)이 특색입니다. 마이애미라 중남미권 학생 비중이 높습니다. QS 338위. 영어권 몰입 환경을 기대하고 간다면 이 점은 미리 알고 가세요.
us-tufts	국제관계(플레처)와 치의예가 강합니다. 보스턴 근교라 인근 대학과 교류가 많습니다. QS 338위, 학비는 연 7만 달러대. 국제관계로 진로가 굳었다면 이 학비도 설명이 됩니다.
us-indiana	켈리 경영대와 자코브스 음대가 각각 미국 최상위로 꼽힙니다. QS 360위, 학비는 연 4만 2천 달러 선. 경영이든 음악이든 목표가 분명하면 종합 순위는 크게 볼 필요가 없습니다.
us-virginia-tech	공학과 건축이 강하고 학비가 연 3만 8천 달러 선입니다. QS 366위, IELTS 6.0. 영어 요건이 낮은 편이라 공대 지망생이 자꾸 다시 보게 되는 학교입니다.
us-uic	시카고에서 유일한 공립 연구중심대학이고 간호와 보건 계열이 강합니다. US News 전국 84위(Shorelight 공시). 학비가 연 3만 달러 선이라 시카고 도심에서 보건 계열을 하기에는 비용 대비 조건이 좋습니다.
us-gwu	워싱턴 D.C. 도심에 있어 국제관계와 정치학 인턴이 가깝습니다. QS 381위, 학비는 연 6만 7천 달러대. 조지타운과 위치 조건이 겹치니 두 곳을 같이 놓고 비교하는 게 낫습니다.
us-northeastern	코업이 이 학교의 핵심입니다. 6개월씩 기업에서 일하고 학교로 돌아오는 구조라 졸업할 때 경력이 붙습니다. 보스턴 도심, QS 385위. 취업을 목표로 학부 4년을 설계하려는 학생에게 가장 잘 맞습니다.
us-uc-santa-cruz	컴퓨터과학과 천문학이 강합니다. QS 458위. UC TAG 참여 캠퍼스인데 TAG 신청 정원이 상대적으로 여유 있는 편이라, UC 편입 보장을 확실히 받고 싶으면 여기를 넣어 두세요.
us-uconn	경영과 약학이 강하고 학비는 연 4만 4천 달러 선입니다. QS 458위. Kaplan 패스웨이 제휴교라 성적이 조금 모자라도 조건부로 들어갈 길이 있습니다.
us-stony-brook	조건부입학으로 갈 수 있는 학교 중에서는 순위가 가장 높습니다. US News 전국 59위. 그리고 수능 영어 1등급을 공인 성적 대신 받아주는 몇 안 되는 미국 대학이라, 아직 토플 점수가 없는 학생이 시간을 버는 카드로 자주 씁니다.
us-utah	게임 개발 전공이 미국 최상위권으로 꼽히고, 솔트레이크시티 IT 클러스터와 가까워 인턴 기회가 많습니다. US News 전국 151위(Shorelight 공시). 게임 쪽으로 진로가 정해졌다면 순위표를 뒤져서 찾을 학교가 아닙니다.
us-georgia	저널리즘과 수의학이 강하고 학비가 연 3만 2천 달러 선입니다. 애선스는 대학 도시라 생활비가 낮습니다. QS 536위. 학비와 생활비를 같이 줄이려면 이런 대학 도시부터 봅니다.
us-florida-state	학비가 연 1만 9천 달러가 안 돼서 이 목록 전체에서 가장 쌉니다. 영화 과정이 강합니다. QS 546위. 예산이 가장 큰 제약이라면 여기부터 계산을 시작해도 됩니다.
us-boston-college	보스턴 근교의 가톨릭계 사립이고 경영과 교육학이 강합니다. QS 549위. 영어 요건이 IELTS 7.5로 높아서, 순위만 보고 만만하게 잡으면 여기서 걸립니다.
us-colorado-mines	QS 575위. 광물자원공학과 지구과학만 파는 특성화 공대입니다. 이 분야로 진로가 정해진 학생에게 맞습니다.
us-delaware	공학과 화학이 강하고 학비는 연 4만 1천 달러 선입니다. 필라델피아에서 한 시간 거리입니다. QS 575위. 큰 도시는 부담스럽고 접근성은 필요할 때 맞는 위치입니다.
us-rpi	미국에서 가장 오래된 공과대학입니다. 공학과 건축이 중심이고 학비는 연 6만 4천 달러대. QS 581위. 주립 공대의 두 배 가까운 학비라, 그만큼의 이유가 있는지 따져 보고 결정하세요.
us-iowa	QS 597위, IELTS 6.0. 문예창작 워크숍이 미국에서 가장 오래되고 이름난 과정입니다. 글 쓰는 쪽으로 갈 학생이라면 순위와 별개로 봐야 합니다.
us-tulane	공중보건이 강하고 뉴올리언스라 도시 자체의 성격이 뚜렷합니다. QS 597위, 학비는 연 6만 9천 달러대. 공중보건이 목표가 아니라면 이 학비를 설명하기 어렵습니다.
us-american	워싱턴 D.C.에 있어 국제관계와 정치 전공의 인턴 연계가 강점입니다. US News 전국 88위(Shorelight 공시). Shorelight 패스웨이로 들어갈 수 있어서, D.C. 학교 중에서는 진입 문턱이 낮은 편입니다.
us-fiu	학비가 연 1만 9천 달러 선으로 이 목록에서 가장 낮은 축입니다. 호텔경영이 강하고 마이애미라 중남미권과 연결이 많습니다. QS 659위, Shorelight 패스웨이 제휴교. 호텔·관광으로 갈 학생에게 비용 대비 조건이 가장 좋습니다.
us-lehigh	공학과 경영이 강한 소규모 사립입니다. 필라델피아와 뉴욕 사이에 있습니다. QS 668위. 두 도시 어느 쪽으로도 인턴을 다닐 수 있다는 게 이 위치의 값입니다.
us-stevens	맨해튼 건너편 호보컨에 있어 뉴욕 금융권 인턴이 가깝습니다. 금융공학 과정이 특색입니다. QS 675위, IELTS 6.0. 금융 쪽으로 진로가 정해졌다면 위치가 곧 경쟁력입니다.
us-south-carolina	국제경영 학부 과정이 미국에서 오래 1위로 꼽혀 온 학교입니다. QS 711위, IELTS 6.0. Shorelight 패스웨이로 들어갈 수 있으니, 국제경영이 목표라면 종합 순위는 접어 두고 봐도 됩니다.
us-oregon	저널리즘과 스포츠경영이 특색이고 나이키 본사가 같은 주에 있어 연계가 있습니다. QS 711위, Kaplan 패스웨이 제휴교. 스포츠 산업으로 가려는 학생에게는 흔치 않은 조합입니다.
us-oregon-state	해양학과 산림학이 강하고 학비는 연 3만 8천 달러 선입니다. QS 711위, INTO 패스웨이 제휴교. 환경·자연자원 쪽으로 방향이 잡혔다면 전공 구성이 맞습니다.
us-missouri	저널리즘 스쿨이 미국에서 가장 오래된 곳입니다. QS 721위, 학비는 연 3만 6천 달러 선. 언론 쪽 진로라면 이 학교 이름은 순위와 따로 놉니다.
us-syracuse	뉴하우스 커뮤니케이션이 미국 최상위로 꼽힙니다. QS 731위. 방송·미디어로 갈 학생이 보는 학교이고, 그 외 전공이라면 굳이 여기를 고를 이유는 약합니다.
us-ucf	재학생 7만 명대로 미국에서 가장 큰 대학 중 하나입니다. 로젠 호스피탈리티 스쿨과 광공학(CREOL)이 강하고, 학비가 연 2만 2천 달러대로 낮습니다. US News 전국 117위(Shorelight 공시). 규모가 커서 알아서 챙겨야 하는 부분이 많다는 점은 감안하세요.
us-missouri-st	공학과 광물자원공학에 특화된 학교입니다. QS 751위, 학비는 연 3만 3천 달러 선, Shorelight 패스웨이 제휴교. 자원·에너지 쪽으로 진로가 정해졌을 때 나오는 선택지입니다.
us-brandeis	보스턴 근교 소규모 사립이고 생명과학과 국제관계가 강합니다. QS 751위. 큰 학교에서 묻히기 싫은 학생이 보스턴권에서 찾는 대안입니다.
us-drexel	코업이 학교 구조에 들어가 있어 재학 중 최대 18개월까지 기업에서 일합니다. 필라델피아 도심, QS 771위, IELTS 6.0. 노스이스턴과 코업으로 겹치니 두 곳을 같이 비교해 보세요.
us-nebraska	농업과 공학이 중심이고 학비가 연 2만 9천 달러 선으로 낮습니다. 링컨은 소도시라 생활비도 덜 듭니다. QS 801위. 학비와 생활비를 동시에 눌러야 할 때 계산이 맞는 학교입니다.
us-wake-forest	학부 중심 소규모 사립이라 수업이 작습니다. 경영과 회계가 강하고 학비는 연 6만 8천 달러대. QS 801위. 순위 대비 학비가 높으니 소규모 수업이 정말 필요한지부터 정하세요.
us-lsu	학비가 연 2만 9천 달러 선으로 낮고 공학과 농업이 중심입니다. QS 851위. Shorelight 패스웨이 제휴교라 조건부로 들어갈 수 있어서, 예산과 성적이 함께 빠듯할 때 열리는 길입니다.
us-auburn	공학과 건축이 강한 남부의 대형 주립대입니다. 학비는 연 3만 5천 달러 선. US News 전국 102위(Shorelight 공시). 공대를 남부에서 저비용으로 다니려면 후보에 들어갑니다.
us-wpi	프로젝트 기반으로 커리큘럼을 짜는 공대입니다. 로보틱스 전공을 미국에서 이른 시기에 만든 학교이기도 합니다. QS 901위. 시험보다 프로젝트로 배우는 게 맞는 학생에게 잘 맞습니다.
us-uab	간호와 공중보건이 강하고 학비가 연 2만 3천 달러 선으로 낮습니다. QS 951위, IELTS 6.0, INTO 패스웨이 제휴교. 보건 계열을 예산 안에서 가려면 조건이 고르게 좋습니다.
us-clark	심리학과 국제개발이 특색인 소규모 사립입니다. 5년에 학사와 석사를 함께 마치는 과정을 운영합니다. QS 951위. 대학원까지 미리 계획에 넣었다면 시간과 비용을 함께 줄일 수 있습니다.
us-clemson	공학과 컴퓨터과학 중심이고 사우스캐롤라이나 소도시라 생활비가 덜 듭니다. QS 951위, 학비는 연 4만 1천 달러 선. 순위보다 4년 총비용을 보고 고르는 학생에게 맞습니다.
us-george-mason	워싱턴 D.C. 근교라 정부·기업 인턴이 가깝습니다. 학비는 연 3만 9천 달러 선이고 INTO 패스웨이 제휴교입니다. QS 1001위. D.C. 사립들이 예산에서 걸릴 때 같은 위치를 훨씬 싸게 얻는 방법입니다.
us-saint-louis	보건 계열과 항공 과정이 특색인 가톨릭계 사립입니다. QS 1001위, 학비는 연 5만 6천 달러 선. 항공 쪽은 개설한 학교 자체가 드물어서, 그 전공이 목표라면 순위는 크게 볼 일이 아닙니다.
us-tulsa	QS 1001위, IELTS 6.0. 석유공학이 이 학교의 자리입니다. 오클라호마 에너지 산업과 붙어 있습니다.
us-umass-boston	보스턴 도심 접근성이 좋으면서 학비는 연 3만 8천 달러 선입니다. QS 1001위, IELTS 6.0, Shorelight 패스웨이 제휴교. 보스턴에서 공부하되 사립 학비는 피하고 싶을 때 답이 됩니다.
us-wyoming	학비가 연 2만 4천 달러 선으로 낮습니다. 공학과 지구과학이 중심이고 Shorelight 패스웨이로 들어갈 수 있습니다. QS 1001위, IELTS 6.0. 조용한 소도시에서 4년을 보낼 각오가 되면 비용은 확실히 낮습니다.
us-utsa	사이버보안 과정이 강하고 학비가 연 2만 2천 달러 선으로 낮습니다. QS 1001위, Shorelight 패스웨이 제휴교. 보안 쪽으로 진로가 정해졌다면 이 학비에 이 전공 조합은 흔치 않습니다.
us-unr	학비가 연 2만 8천 달러 선이고 공학과 저널리즘이 중심입니다. QS 1001위, IELTS 6.0, Shorelight 패스웨이 제휴교. 서부에서 비용을 낮춰 시작하려는 학생이 봅니다.
us-smu	댈러스에 있는 사립이고 경영과 예술이 중심입니다. QS 1001위, 학비는 연 6만 7천 달러대. 순위 대비 학비가 높은 편이라 다른 텍사스 학교들과 같이 놓고 비교하는 게 낫습니다.
us-fordham	뉴욕에 있는 가톨릭계 사립이고 경영과 커뮤니케이션이 중심입니다. QS 1001위, 영어는 IELTS 7.0. 뉴욕이라는 위치가 이 학교를 고르는 가장 큰 이유가 됩니다.
us-william-mary	미국에서 두 번째로 오래된 대학입니다. 학부 규모가 작고 경영과 정치학이 강합니다. QS 1001위, 영어는 IELTS 7.0. 역사와 학부 중심 구조를 보고 오는 학교이지 순위로 오는 학교는 아닙니다.
us-vermont	환경과학이 특색이고 벌링턴은 작고 조용한 대학 도시입니다. QS 1001위. 환경 쪽 전공이 아니라면 이 위치를 감수할 이유가 크지 않습니다.
us-denver	국제관계와 호텔경영이 특색입니다. 덴버 도심이고 학비는 연 6만 1천 달러대. QS 1001위. 사립 학비를 내는 만큼 두 전공 중 하나가 목표여야 계산이 맞습니다.
us-alabama	학비가 연 3만 4천 달러 선이고 커뮤니케이션과 경영이 중심입니다. 남부 대형 주립대라 캠퍼스 규모가 큽니다. QS 1001위, IELTS 6.0. 영어 요건과 학비가 둘 다 부담이 적은 편입니다.
us-binghamton	뉴욕주립대 계열 중 학업 평판이 높은 축이고 학비가 연 3만 달러 선으로 낮습니다. 경영과 약학이 강합니다. QS 1001위. 뉴욕주 안에서 비용을 낮추려면 스토니브룩과 같이 놓고 보세요.
us-new-hampshire	해양학이 특색이고 보스턴에서 한 시간 거리입니다. QS 1201위, 학비는 연 4만 달러 선. 보스턴 생활권은 유지하면서 학비를 낮추는 쪽입니다.
us-seattle-u	시애틀 도심 가톨릭계 사립이고 간호와 컴퓨터과학이 중심입니다. QS 1201위, Shorelight 패스웨이 제휴교. UW가 어려울 때 같은 도시에서 찾는 대안입니다.
us-miami-ohio	이름 때문에 플로리다 마이애미와 헷갈리기 쉬운데 오하이오에 있는 학교입니다. 학부 교육 평판이 좋고 경영과 건축이 강합니다. QS 1201위. 지원서를 넣기 전에 어느 마이애미인지부터 확인하세요.
us-byu	QS 1201위. 학비가 연 6,688달러로 이 목록에서 압도적으로 쌉니다. 교단이 운영하는 학교라 생활 규범(Honor Code)을 지켜야 하니 지원 전에 반드시 확인하세요.
us-baylor	텍사스의 침례교계 사립입니다. 간호와 생명과학이 중심이고 학비는 연 5만 8천 달러대. QS 1201위인데 사립 학비라 순위 대비 부담이 큰 편이니, 이 학교를 굳이 골라야 할 이유가 있는지 먼저 정리하는 게 좋습니다.
us-suffolk	보스턴 도심에 있는 사립이고 경영과 법학이 중심입니다. INTO 패스웨이 제휴교라 조건부로 들어갈 수 있습니다. 도심 위치가 이 학교의 가장 큰 장점입니다.
us-hofstra	롱아일랜드라 맨해튼과는 거리가 있지만 뉴욕주 안입니다. 커뮤니케이션과 경영이 중심이고 INTO 패스웨이로도 들어갑니다. 성적이 애매할 때 뉴욕권으로 거는 카드입니다.
us-cleveland-state	학비가 연 1만 9천 달러가 안 돼서 이 목록에서 가장 낮은 축입니다. IELTS 6.0이고 Shorelight 패스웨이 제휴교라, 예산과 영어가 둘 다 빠듯할 때 보는 선택지입니다.
us-pace	맨해튼 도심에 캠퍼스가 있습니다. 경영과 회계, 공연예술이 중심이고 Kaplan 패스웨이 제휴교라 뉴욕에서 조건부로 시작할 수 있습니다. 위치값을 생각하면 진입 문턱이 낮은 편입니다.
us-simmons	보스턴에 있는 학부 여자대학입니다(대학원은 남녀 공학). 간호와 보건, 사회복지가 중심이고 Kaplan 패스웨이 제휴교입니다. 학부가 여대라는 점은 지원 전에 반드시 확인하세요.
us-drew	뉴저지에 있는 소규모 사립입니다. 생명과학과 정치학이 중심이고 뉴욕까지 한 시간 거리라 인턴 연계 과정이 있습니다. INTO 패스웨이 제휴교. 작은 학교에서 인턴까지 챙기고 싶을 때 봅니다.
us-dayton	오하이오의 가톨릭계 사립이고 공학과 교육학이 중심입니다. IELTS 6.0이고 Shorelight 패스웨이 제휴교라, 영어 점수가 아직 낮아도 시작할 길이 있습니다.
us-tcu	텍사스 포트워스에 있는 사립이고 경영과 간호가 중심입니다. 학부 규모가 크지 않아 수업이 작은 편이고 영어는 IELTS 7.0입니다. 소규모 수업을 원하면서 텍사스를 보고 있다면 후보입니다.
